algorithm,dataset,avg_dist,avg_exec_time,avg_algo_time,elapsed,avg_max_rss
2_Approximation_Algorithm,a100.tsp,1538.8278355184611,0.0,0.0,0:00.00,3921.3333333333335
2_Approximation_Algorithm,a25.tsp,443.55501047059414,0.3333333333333333,0.0,0:00.00,3860.0
2_Approximation_Algorithm,a280.tsp,3500.556807189502,0.3333333333333333,0.0,0:00.00,3934.6666666666665
2_Approximation_Algorithm,a5.tsp,103.54844941612414,0.6666666666666666,0.0,0:00.00,3900.0
2_Approximation_Algorithm,kz9976.tsp,1472418.2331467466,515.3333333333334,510.6666666666667,0:00.53,5261.333333333333
2_Approximation_Algorithm,mona-lisa100K.tsp,8335666.218426102,79073.0,79005.33333333333,1:19.09,18601.333333333332
2_Approximation_Algorithm,xql662.tsp,3850.2015409449737,3.3333333333333335,3.0,0:00.00,4030.6666666666665
Held-Karp_algorithm,a100.tsp,,,,0:00.00,3574.6666666666665
Held-Karp_algorithm,a25.tsp,358.76500000000004,71727.0,71723.33333333333,2:06.17,3935253.3333333335
Held-Karp_algorithm,a280.tsp,,,,0:26.25,4383769.333333333
Held-Karp_algorithm,a5.tsp,103.548,2.6666666666666665,0.0,0:00.01,3900.0
Held-Karp_algorithm,kz9976.tsp,,,,0:18.02,4382232.0
Held-Karp_algorithm,mona-lisa100K.tsp,,,,0:00.20,5618.666666666667
Held-Karp_algorithm,xql662.tsp,,,,0:22.00,4381634.666666667
brute_force,a25.tsp,,,,1:53.81,3508.0
brute_force,a5.tsp,103.5484,,0.0,0:00.00,3826.6666666666665
k-means,a100.tsp,1348.7832456374683,0.0,0.0,0:00.00,3937.3333333333335
k-means,a25.tsp,431.50484000854016,0.0,0.0,0:00.00,3925.3333333333335
k-means,a280.tsp,3852.92993383396,1.0,1.0,0:00.00,3916.0
k-means,a5.tsp,0.0,0.0,0.0,0:00.00,3833.3333333333335
k-means,kz9976.tsp,12925839.36559928,132.0,127.66666666666667,0:00.13,4442.666666666667
k-means,mona-lisa100K.tsp,306498554.98372674,12412.333333333334,12374.333333333334,0:12.68,12433.333333333334
k-means,xql662.tsp,6767.799011468286,2.3333333333333335,2.0,0:00.00,3972.0
k-means_mod,a100.tsp,1438.0270287198257,0.0,0.0,0:00.00,3945.3333333333335
k-means_mod,a25.tsp,437.6162961885418,0.0,0.0,0:00.00,3912.0
k-means_mod,a280.tsp,3886.2786509564016,2.6666666666666665,2.6666666666666665,0:00.00,3902.6666666666665
k-means_mod,a5.tsp,103.54844941612414,0.0,0.0,0:00.00,3877.3333333333335
k-means_mod,kz9976.tsp,2063178.6222614634,2688.0,2684.0,0:02.68,4402.666666666667
k-means_mod,mona-lisa100K.tsp,11660528.706314279,220808.33333333334,220768.0,3:48.13,11758.666666666666
k-means_mod,xql662.tsp,4614.598869030194,19.666666666666668,19.0,0:00.02,3956.0
min_weight_loop_w_insertion,a100.tsp,1681.2500215228904,0.0,0.0,0:00.00,3841.3333333333335
min_weight_loop_w_insertion,a25.tsp,516.443266264492,0.0,0.0,0:00.00,3900.0
min_weight_loop_w_insertion,a280.tsp,4966.997040890644,0.0,0.0,0:00.00,3868.0
min_weight_loop_w_insertion,a5.tsp,103.54844941612414,0.0,0.0,0:00.00,3794.6666666666665
min_weight_loop_w_insertion,kz9976.tsp,2852242.9794137604,275.0,267.6666666666667,0:00.27,4456.0
min_weight_loop_w_insertion,mona-lisa100K.tsp,11095266.97811601,48311.0,48261.0,0:49.29,12316.0
min_weight_loop_w_insertion,xql662.tsp,5911.619667610418,1.6666666666666667,1.0,0:00.00,3981.3333333333335
